name,cohort,job_title,job_category,job_category_entrepreneur,job_category_ic,job_category_leader,job_category_manager,job_category_student,job_category_unknown,job_category_reasoning,company_size_category,company_size_category_enterprise,company_size_category_smb,company_size_category_solo,company_size_category_unknown,course_join_question,course_join_question_summarized,source,source_enrolled_(free),source_lightning_lesson,source_started_payment,source_uploaded_to_waitlist,source_waitlist,course_join_question_cluster,course_join_question_cluster_1,course_join_question_cluster_2,course_join_question_cluster_3,course_join_question_cluster_4,course_join_question_cluster_5,module_item_views,projects_submitted,projects_submitted_gte_1,projects_submitted_gte_3,community_posts,community_posts_gte_1,community_posts_gte_3,zoom_join_clicks,rating,rating_gte_10,rating_exists
Student1,1,Founder,entrepreneur,1,0,0,0,0,0,Solo company,solo,0,0,1,0,"I would like to get practical experience in building and deploying ai applications. I have some grounding the basics, but I want to be able to get to the point of actually deploying apps. ",Goal: Gain practical experience in building and deploying AI applications,Waitlist,0,0,0,0,1,5,0,0,0,0,1,26,2,TRUE,FALSE,7,TRUE,TRUE,2,,FALSE,FALSE
Student2,3,Unknown job title,unknown,0,0,0,0,0,1,Unknown job title,unknown,0,0,0,1,"New to the field, I will learn as much as I can so I can grow and buikd a career in AI",Goal: Learn and grow a career in AI.,Started payment,0,0,1,0,0,5,0,0,0,0,1,36,0,FALSE,FALSE,2,TRUE,FALSE,1,10.0,TRUE,TRUE
Student3,4,Data Analyst/Economist,ic,0,1,0,0,0,0,"The job title 'Data Analyst/Economist' contains 'analyst' and 'economist', both of which are typical individual contributor (IC) roles. There are no indications of managerial, leadership, entrepreneurial, or student status.",enterprise,1,0,0,0,I would like to start to have a grasp of how I can use AI to build products.,Goal: Learn to use AI for building products,Waitlist,0,0,0,0,1,3,0,0,1,0,0,63,3,TRUE,TRUE,7,TRUE,TRUE,2,10.0,TRUE,TRUE
Student4,1,Unknown job title,unknown,0,0,0,0,0,1,Unknown job title,unknown,0,0,0,1,Learn more about AI customization. Building my own program using different tools . Learning also basics and fundamentals of AI models and in which context to use them .,"Goal: Learn AI customization, build programs, and understand AI fundamentals",Started payment,0,0,1,0,0,5,0,0,0,0,1,23,1,TRUE,FALSE,10,TRUE,TRUE,5,9.0,FALSE,TRUE
Student5,3,VP Finance,leader,0,0,1,0,0,0,"The title 'VP Finance' includes 'VP', which stands for Vice President, a classic leader-level title. This role typically leads managers and oversees a department, fitting the 'leader' category.",enterprise,1,0,0,0,"Two things: (1) Build AI applications to streamline my work, primarily for corporate finance / bizops use case. (2) Ship a prototype for software ideas that's been sitting in the backburner.",Goal: Build AI for finance/bizops and develop a prototype for software ideas,Lightning Lesson,0,1,0,0,0,3,0,0,1,0,0,49,5,TRUE,TRUE,16,TRUE,TRUE,5,10.0,TRUE,TRUE
Student6,2,Head of Product,leader,0,0,1,0,0,0,"The title 'Head of Product' typically indicates a leadership role overseeing managers or entire product teams. The phrase 'Head of' is listed under the leader category, which takes precedence over manager or IC.",smb,0,1,0,0,Uplevel my knowledge on AI and ideally be able to build something using AI.,Goal: Improve AI knowledge and build AI projects,Enrolled (Free),1,0,0,0,0,5,0,0,0,0,1,11,1,TRUE,FALSE,4,TRUE,TRUE,3,,FALSE,FALSE
Student7,1,Data Scientist,ic,0,1,0,0,0,0,"The title 'Data Scientist' matches the example list for individual contributors (ICs) and does not indicate managerial, leadership, entrepreneurial, or student status.",smb,0,1,0,0,"Gain hands-on experience interfacing with LLMs, networking",Goal: Gain hands-on experience with LLMs and networking,Started payment,0,0,1,0,0,1,1,0,0,0,0,3,0,FALSE,FALSE,0,FALSE,FALSE,4,,FALSE,FALSE
Student8,4,Unknown job title,unknown,0,0,0,0,0,1,Unknown job title,unknown,0,0,0,1,Being able to build end to end AI applications.,Goal: Build end-to-end AI applications,Started payment,0,0,1,0,0,3,0,0,1,0,0,5,0,FALSE,FALSE,0,FALSE,FALSE,0,,FALSE,FALSE
Student9,2,Program Manager,manager,0,0,0,1,0,0,"The title 'Program Manager' contains the word 'manager', which indicates responsibility for leading projects or teams, but not at the executive or director level. There is no indication of entrepreneurship or student status.",unknown,0,0,0,1,"I would like to switch over to AI Product Management from Operational Program Management. I got laid-off in Oct'24. Even since, I tried learning, did a lot of exercise of my own. I'm not looking for new opportunity till I'm ready for AI. Here are my goals
- Real time and Practicle AI Product Implementation
- Real time build Product Strategy
- Real time do Product Design

Rest are covered in the course, I shall try to pick them to fulfill my goals.

Shaw, I'm excited to learn from you!

Thank you","Goal: Transition to AI Product Management, learn real-time AI product development and strategy",Lightning Lesson,0,1,0,0,0,5,0,0,0,0,1,19,0,FALSE,FALSE,0,FALSE,FALSE,5,,FALSE,FALSE
Student10,2,Technical Project Manager,manager,0,0,0,1,0,0,"The title 'Technical Project Manager' contains 'Project Manager', which is explicitly listed under the manager category. There are no keywords indicating entrepreneur, leader, or student. Therefore, this is best classified as manager.",enterprise,1,0,0,0,"AI basics, introduction and how to use it my work ",Goal: Learn AI basics and usage for work,Started payment,0,0,1,0,0,5,0,0,0,0,1,11,0,FALSE,FALSE,0,FALSE,FALSE,5,9.0,FALSE,TRUE
Student11,3,Solutions Engineer,ic,0,1,0,0,0,0,"The title 'Solutions Engineer' contains 'engineer', which is listed as an example of an individual contributor (IC) role. There are no keywords indicating managerial, leadership, entrepreneurial, or student status.",enterprise,1,0,0,0,I want to gain practical knowledge of end to end AI process through building projects.,Goal: Gain practical knowledge of end-to-end AI through projects,Started payment,0,0,1,0,0,5,0,0,0,0,1,8,0,FALSE,FALSE,1,TRUE,FALSE,0,,FALSE,FALSE
Student12,1,Financial Management & Compliance Advisor,entrepreneur,1,0,0,0,0,0,Solo company,solo,0,0,1,0,"Gain knowledge and skills to be able to develop AI powered automation application for regulatory compliance tasks such as RAG, Knowledge Graph, Langchain, etc..",Goal: Learn to develop AI automation for regulatory compliance tasks,Waitlist,0,0,0,0,1,3,0,0,1,0,0,5,0,FALSE,FALSE,1,TRUE,FALSE,0,,FALSE,FALSE
Student13,1,Technology Analyst,ic,0,1,0,0,0,0,"The title 'Technology Analyst' contains the keyword 'analyst', which is listed under the individual contributor (IC) examples. There are no indications of managerial, leadership, entrepreneurial, or student roles in the title.",enterprise,1,0,0,0,Understand and create projects using AI where most appropriate,Goal: Learn to create AI projects where suitable,Started payment,0,0,1,0,0,5,0,0,0,0,1,11,1,TRUE,FALSE,2,TRUE,FALSE,1,,FALSE,FALSE
Student14,3,Data Scientist,ic,0,1,0,0,0,0,"The title 'Data Scientist' matches the example list for individual contributors (ICs) and does not indicate management, leadership, entrepreneurship, or student status.",smb,0,1,0,0,I am a data scientist but have limited experience with LLM application. I want to get more experience through real world projects and I want to learn from Shaw's experience creating valuable AI products. ,Goal: Gain LLM experience through projects and learn from Shaw's AI product expertise,Started payment,0,0,1,0,0,1,1,0,0,0,0,12,3,TRUE,TRUE,4,TRUE,TRUE,0,10.0,TRUE,TRUE
Student15,1,Data Analyst,ic,0,1,0,0,0,0,"The title 'Data Analyst' matches the example keywords for individual contributors (ICs), specifically 'analyst'. There are no indications of managerial, leadership, entrepreneurial, or student roles.",enterprise,1,0,0,0,A methodology to use this technology to build high ROI systems,Goal: Learn to build high ROI systems using this technology,Waitlist,0,0,0,0,1,4,0,0,0,1,0,25,4,TRUE,TRUE,14,TRUE,TRUE,0,10.0,TRUE,TRUE
Student16,4,Software Engineer,ic,0,1,0,0,0,0,"The title 'Software Engineer' matches the example keywords for individual contributors (ICs) such as 'engineer' and does not indicate management, leadership, entrepreneurship, or student status.",smb,0,1,0,0,A better understanding of AI and how to bring it into the Trackstack platform,Goal: Understand AI and integrate it into Trackstack platform,Started payment,0,0,1,0,0,5,0,0,0,0,1,5,0,FALSE,FALSE,2,TRUE,FALSE,8,,FALSE,FALSE
